Client_Name,Account_ID,Legal_Entity,Currency,Payment_Type,Paid_Amount,Payment_Date,Payment_Status,Pending_Amount,Comments,Source
J P Morgan,101008,CitiBank NewYork,GBP,Receive,45678,2020-03-11 ,Fully paid,0,Transaction complete,0
J P Morgan,105049,CitiBank NewYork,USD,Receive,765327,2020-03-12 ,Partially Paid,1008,Waiting for pending amount,0
DEUTSCHE BANK,105050,CitiBank HongKong,CAD,Receive,637229,2020-03-13 ,Partially Paid,34566,Waiting for pending amount,0
DEUTSCHE BANK,105058,CitiBank NewYork,USD,Receive,22345566,2020-03-14 ,Partially Paid,1000000,Waiting for pending amount,0
DEUTSCHE BANK,105059,CitiBank NewYork,EUR,Receive,553322,2020-03-15 ,Rejected,553322,Payment Failed,0
BNY Mellon,105061,CitiBank London,USD,Receive,56789,2020-03-16 ,Rejected,56789,Payment Failed,0
BNY Mellon,105071,CitiBank London,GBP,Receive,98735627,2020-03-07 ,Rejected,98735627,Payment Failed,0
BNY Mellon,105101,CitiBank London,EUR,Receive,6578,2020-03-08 ,Fully paid,0,Transaction complete,0
BNY Mellon,105102,CitiBank NewYork,USD,Receive,352627,2020-03-09 ,Partially Paid,23456,Waiting for pending amount,0
J P Morgan,105115,CitiBank Singapore,EUR,Receive,532828,2020-03-10 ,Fully paid,0,Transaction complete,0
J P Morgan,105126,CitiBank NewYork,USD,Deliver,4567,2020-04-11 ,Fully paid,0,Transaction complete,0
DEUTSCHE BANK,105120,CitiBank NewYork,EUR,Deliver,87643,2020-03-12 ,Processing,87643,Payment is in progress,0
DEUTSCHE BANK,105121,CitiBank London,USD,Deliver,22345,2020-03-13 ,Fully paid,0,Transaction complete,0
DEUTSCHE BANK,105122,CitiBank London,GBP,Deliver,55543,2020-03-14 ,Fully paid,0,Transaction complete,0
BNY Mellon,105125,CitiBank NewYork,EUR,Deliver,23455,2020-06-01 ,Rejected,23455,Payment Failed,0
BNY Mellon,105135,CitiBank London,USD,Deliver,4321456,2020-03-16 ,Processing,4321456,Payment is in progress,0
BNY Mellon,105140,CitiBank London,EUR,Deliver,654322,2020-03-17 ,Processing,654322,Payment is in progress,0
BNY Mellon,105146,CitiBank Singapore,USD,Deliver,876543,2020-06-10 ,Processing,876543,Payment is in progress,0
HSBC,105150,CitiBank NewYork,GBP,Deliver,3456,2020-03-19 ,Processing,3456,Payment is in progress,0
HSBC,105170,CitiBank Singapore,EUR,Deliver,6664,2020-03-20 ,Processing,6664,Payment is in progress,0
HSBC,103560,CitiBank Bengaluru,INR,Receive,2421,2020-02-23 ,Fully paid,0,Transaction complete,1
J P Morgan,104644,CitiBank Pune,INR,Receive,6879,2020-02-26 ,Processing,6879,Payment is in progress,1
Goldman Sachs,104136,CitiBank London,CAD,Deliver,6633,2020-02-24 ,Partially Paid,5987,Waiting for pending amount,1
Morgan Stanley,103256,CitiBank Bengaluru,USD,Receive,7332,2020-04-28 ,Processing,7332,Payment is in progress,1
Wells Fargo,104112,CitiBank Bengaluru,USD,Deliver,484,2020-04-20 ,Partially Paid,6030,Waiting for pending amount,1
Morgan Stanley,101369,CitiBank NewYork,GBP,Receive,7332,2020-04-17 ,Fully paid,0,Transaction complete,1
BNY Mellon,102729,CitiBank Pune,GBP,Deliver,1667,2020-04-07 ,Partially Paid,9533,Waiting for pending amount,1
Goldman Sachs,103197,CitiBank London,EUR,Receive,622,2020-05-21 ,Fully paid,0,Transaction complete,1
Goldman Sachs,104425,CitiBank Singapore,EUR,Deliver,1778,2020-04-11 ,Fully paid,0,Transaction complete,1
Wells Fargo,103600,CitiBank London,USD,Deliver,5374,2020-05-05 ,Fully paid,0,Transaction complete,1
Wells Fargo,103640,CitiBank Singapore,GBP,Deliver,5393,2020-05-14 ,Rejected,5393,Payment Failed,1
BNP Paribas,101655,CitiBank Bengaluru,EUR,Receive,5255,2020-05-09 ,Partially Paid,6822,Waiting for pending amount,1
J P Morgan,103262,CitiBank Pune,USD,Deliver,8154,2020-05-22 ,Rejected,8154,Payment Failed,1
HSBC,102806,CitiBank Singapore,CAD,Deliver,7899,2020-03-12 ,Rejected,7899,Payment Failed,1
BNY Mellon,103690,CitiBank London,EUR,Deliver,8605,2020-03-11 ,Fully paid,0,Transaction complete,1
J P Morgan,103490,CitiBank Singapore,GBP,Receive,419,2020-06-02 ,Processing,419,Payment is in progress,1
Goldman Sachs,101418,CitiBank HongKong,GBP,Receive,4442,2020-03-12 ,Processing,4442,Payment is in progress,1
Goldman Sachs,104633,CitiBank NewYork,INR,Deliver,7020,2020-06-01 ,Fully paid,0,Transaction complete,1
HSBC,102057,CitiBank London,EUR,Deliver,2580,2020-02-20 ,Partially Paid,9071,Waiting for pending amount,1
Morgan Stanley,101872,CitiBank Singapore,EUR,Receive,5132,2020-02-22 ,Fully paid,0,Transaction complete,1
Wells Fargo,103180,CitiBank Bengaluru,EUR,Deliver,9679,2020-05-23 ,Rejected,9679,Payment Failed,1
Goldman Sachs,105086,CitiBank Pune,EUR,Receive,8632,2020-03-14 ,Processing,8632,Payment is in progress,1
BNY Mellon,102906,CitiBank HongKong,EUR,Receive,2029,2020-05-11 ,Rejected,2029,Payment Failed,1
J P Morgan,103946,CitiBank Bengaluru,GBP,Receive,5393,2020-05-20 ,Rejected,5393,Payment Failed,1
BNP Paribas,102516,CitiBank HongKong,EUR,Deliver,5483,2020-03-08 ,Rejected,5483,Payment Failed,1
Goldman Sachs,101072,CitiBank Pune,EUR,Deliver,5369,2020-03-15 ,Partially Paid,7436,Waiting for pending amount,1
HSBC,105091,CitiBank Bengaluru,CAD,Deliver,854,2020-04-19 ,Fully paid,0,Transaction complete,1
BNY Mellon,104512,CitiBank NewYork,EUR,Deliver,8358,2020-05-14 ,Partially Paid,2059,Waiting for pending amount,1
Morgan Stanley,103731,CitiBank Bengaluru,USD,Deliver,1297,2020-04-02 ,Rejected,1297,Payment Failed,1
BNY Mellon,101071,CitiBank Singapore,EUR,Receive,2076,2020-03-06 ,Rejected,2076,Payment Failed,1
J P Morgan,103557,CitiBank Bengaluru,USD,Deliver,9740,2020-05-19 ,Processing,9740,Payment is in progress,1
BNP Paribas,104924,CitiBank NewYork,CAD,Deliver,4770,2020-03-01 ,Rejected,4770,Payment Failed,1
Wells Fargo,102733,CitiBank Bengaluru,CAD,Receive,4065,2020-04-18 ,Processing,4065,Payment is in progress,1
BNY Mellon,103099,CitiBank NewYork,INR,Deliver,700,2020-04-30 ,Processing,700,Payment is in progress,1
HSBC,104314,CitiBank London,USD,Receive,6221,2020-06-05 ,Fully paid,0,Transaction complete,1
J P Morgan,102643,CitiBank HongKong,CAD,Deliver,3792,2020-05-12 ,Partially Paid,6276,Waiting for pending amount,1
Goldman Sachs,104746,CitiBank NewYork,INR,Receive,3173,2020-05-14 ,Fully paid,0,Transaction complete,1
BNY Mellon,103939,CitiBank NewYork,EUR,Deliver,9455,2020-04-12 ,Processing,9455,Payment is in progress,1
DEUTSCHE BANK,105002,CitiBank London,GBP,Deliver,1420,2020-03-16 ,Processing,1420,Payment is in progress,1
J P Morgan,102174,CitiBank NewYork,INR,Receive,9433,2020-05-07 ,Partially Paid,3814,Waiting for pending amount,1
BNY Mellon,102038,CitiBank Pune,GBP,Receive,1331,2020-03-28 ,Rejected,1331,Payment Failed,1
J P Morgan,102637,CitiBank HongKong,EUR,Receive,7253,2020-04-24 ,Rejected,7253,Payment Failed,1
BNY Mellon,103799,CitiBank NewYork,INR,Deliver,654,2020-05-13 ,Partially Paid,1016,Waiting for pending amount,1
J P Morgan,104806,CitiBank Singapore,CAD,Deliver,8728,2020-03-28 ,Rejected,8728,Payment Failed,1
J P Morgan,102439,CitiBank Bengaluru,INR,Deliver,849,2020-04-18 ,Processing,849,Payment is in progress,1
Wells Fargo,104683,CitiBank London,USD,Deliver,2089,2020-04-01 ,Processing,2089,Payment is in progress,1
Goldman Sachs,103907,CitiBank Bengaluru,GBP,Receive,3554,2020-04-19 ,Processing,3554,Payment is in progress,1
J P Morgan,102791,CitiBank London,INR,Deliver,8935,2020-04-23 ,Fully paid,0,Transaction complete,1
HSBC,102297,CitiBank HongKong,GBP,Receive,482,2020-04-14 ,Rejected,482,Payment Failed,1
J P Morgan,103427,CitiBank NewYork,INR,Deliver,6526,2020-04-11 ,Fully paid,0,Transaction complete,1
DEUTSCHE BANK,103819,CitiBank Singapore,EUR,Receive,9637,2020-05-15 ,Rejected,9637,Payment Failed,1
HSBC,102631,CitiBank HongKong,USD,Receive,4076,2020-02-24 ,Processing,4076,Payment is in progress,1
BNP Paribas,104069,CitiBank HongKong,GBP,Deliver,377,2020-02-29 ,Fully paid,0,Transaction complete,1
Wells Fargo,101280,CitiBank London,INR,Receive,3936,2020-05-12 ,Fully paid,0,Transaction complete,1
HSBC,103187,CitiBank NewYork,GBP,Receive,4699,2020-06-08 ,Processing,4699,Payment is in progress,1
BNP Paribas,103806,CitiBank Pune,CAD,Deliver,3893,2020-05-22 ,Rejected,3893,Payment Failed,1
DEUTSCHE BANK,102409,CitiBank Singapore,GBP,Deliver,1356,2020-03-01 ,Processing,1356,Payment is in progress,1
Morgan Stanley,104835,CitiBank Bengaluru,CAD,Receive,104,2020-05-11 ,Fully paid,0,Transaction complete,1
BNY Mellon,104209,CitiBank HongKong,INR,Receive,3419,2020-03-21 ,Fully paid,0,Transaction complete,1
Morgan Stanley,101236,CitiBank London,USD,Receive,8635,2020-03-29 ,Fully paid,0,Transaction complete,1
HSBC,104239,CitiBank Pune,USD,Receive,1396,2020-03-22 ,Rejected,1396,Payment Failed,1
J P Morgan,103232,CitiBank Bengaluru,INR,Deliver,8664,2020-03-13 ,Partially Paid,6518,Waiting for pending amount,1
Wells Fargo,102668,CitiBank NewYork,CAD,Receive,6027,2020-05-06 ,Partially Paid,7362,Waiting for pending amount,1
DEUTSCHE BANK,102284,CitiBank Singapore,CAD,Deliver,5030,2020-05-20 ,Partially Paid,5776,Waiting for pending amount,1
Morgan Stanley,103711,CitiBank NewYork,EUR,Deliver,6764,2020-05-24 ,Rejected,6764,Payment Failed,1
Wells Fargo,103649,CitiBank London,GBP,Deliver,8666,2020-05-10 ,Fully paid,0,Transaction complete,1
DEUTSCHE BANK,102505,CitiBank Pune,INR,Receive,7047,2020-05-30 ,Fully paid,0,Transaction complete,1
Morgan Stanley,104474,CitiBank Pune,GBP,Receive,5091,2020-03-16 ,Partially Paid,1858,Waiting for pending amount,1
DEUTSCHE BANK,102951,CitiBank London,INR,Receive,6891,2020-04-14 ,Rejected,6891,Payment Failed,1
DEUTSCHE BANK,102238,CitiBank Pune,GBP,Receive,6176,2020-03-18 ,Fully paid,0,Transaction complete,1
J P Morgan,103402,CitiBank Pune,GBP,Receive,7604,2020-05-12 ,Processing,7604,Payment is in progress,1
Wells Fargo,105149,CitiBank NewYork,EUR,Deliver,8136,2020-05-18 ,Partially Paid,7198,Waiting for pending amount,1
J P Morgan,101305,CitiBank Pune,INR,Receive,7320,2020-05-08 ,Rejected,7320,Payment Failed,1
BNY Mellon,103024,CitiBank Pune,CAD,Receive,4392,2020-05-14 ,Processing,4392,Payment is in progress,1
BNP Paribas,102625,CitiBank Singapore,EUR,Receive,3976,2020-03-12 ,Rejected,3976,Payment Failed,1
BNP Paribas,102006,CitiBank Pune,CAD,Deliver,1097,2020-05-29 ,Partially Paid,6408,Waiting for pending amount,1
Goldman Sachs,103992,CitiBank Bengaluru,GBP,Receive,1048,2020-06-05 ,Partially Paid,9187,Waiting for pending amount,1
Goldman Sachs,105160,CitiBank Pune,EUR,Deliver,1984,2020-04-25 ,Rejected,1984,Payment Failed,1
Wells Fargo,103951,CitiBank HongKong,INR,Deliver,6672,2020-04-18 ,Processing,6672,Payment is in progress,1
Goldman Sachs,104100,CitiBank London,EUR,Receive,8845,2020-04-25 ,Fully paid,0,Transaction complete,1
BNY Mellon,102847,CitiBank London,GBP,Receive,1728,2020-05-04 ,Partially Paid,8416,Waiting for pending amount,1
J P Morgan,104990,CitiBank Bengaluru,INR,Receive,3456,2020-04-06 ,Processing,3456,Payment is in progress,1
Wells Fargo,101024,CitiBank Bengaluru,USD,Receive,2302,2020-03-27 ,Rejected,2302,Payment Failed,1
HSBC,104470,CitiBank Singapore,CAD,Deliver,1467,2020-03-28 ,Rejected,1467,Payment Failed,1
DEUTSCHE BANK,101088,CitiBank Bengaluru,EUR,Deliver,1692,2020-05-28 ,Rejected,1692,Payment Failed,1
Morgan Stanley,103643,CitiBank HongKong,CAD,Deliver,8953,2020-03-18 ,Processing,8953,Payment is in progress,1
Morgan Stanley,101171,CitiBank London,GBP,Receive,4230,2020-02-22 ,Partially Paid,6754,Waiting for pending amount,1
